player_name,market_value_eur_millions
Luca Zidane,1.0
Anthony Mandrea,0.5
Melvin Mastil,0.25
Ramy Bensebaini,7.0
Sohaib Nair,1.2
Zineddine Belaid,1.2
Aissa Mandi,1.0
Achref Abada,0.8
Rayan Ait-Nouri,40.0
Mehdi Dorval,2.0
Rafik Belghali,7.0
Ramiz Zerrouki,6.0
Hicham Boudaoui,12.0
Yassine Titraoui,7.0
Ibrahim Maza,25.0
Fares Chaibi,15.0
Houssem Aouar,8.0
Adil Aouchiche,2.0
Adil Boulbina,3.2
Anis Hadj Moussa,20.0
Riyad Mahrez,7.0
Fares Ghedjemis,5.5
Mohamed Amoura,32.0
Amine Gouiri,28.0
Amin Chiakha,3.0
Nadhir Benbouali,0.9
