player_name,market_value_eur_millions
Emiliano Martinez,15.0
Geronimo Rulli,8.0
Juan Musso,3.0
Cristian Romero,50.0
Marcos Senesi,22.0
Lucas Martinez Quarta,4.5
Tomas Palacios,4.5
Nicolas Otamendi,1.0
Nicolas Tagliafico,5.0
Gabriel Rojas,4.0
Marcos Acuna,1.2
Nahuel Molina,15.0
Agustin Giay,10.0
Maximo Perrone,30.0
Leandro Paredes,5.0
Enzo Fernandez,90.0
Alexis Mac Allister,80.0
Valentin Barco,35.0
Exequiel Palacios,30.0
Rodrigo De Paul,15.0
Nico Paz,65.0
Nico Gonzalez,24.0
Thiago Almada,20.0
Franco Mastantuono,45.0
Giuliano Simeone,40.0
Lionel Messi,15.0
Julian Alvarez,90.0
Joaquin Panichelli,35.0
Jose Manuel Lopez,22.0
