player_name,market_value_eur_millions
Alexander Schlager,2.5
Tobias Lawal,2.5
Patrick Pentz,2.2
Florian Wiegele,1.8
Kevin Danso,20.0
Marco Friedl,12.0
Philipp Lienhart,12.0
David Affengruber,9.0
Stefan Posch,5.5
David Alaba,3.5
Maximilian Wober,3.0
Michael Svoboda,3.0
Phillipp Mwene,1.5
Konrad Laimer,32.0
Nicolas Seiwald,22.0
Florian Grillitsch,2.0
Carney Chukwuemeka,20.0
Xaver Schlager,10.0
Marcel Sabitzer,7.0
Alessandro Schopf,0.9
Alexander Prass,7.0
Christoph Baumgartner,30.0
Paul Wanner,18.0
Romano Schmid,15.0
Patrick Wimmer,15.0
Marko Arnautovic,2.5
Sasa Kalajdzic,2.0
Michael Gregoritsch,1.5
