player_name,market_value_eur_millions
Senne Lammens,30.0
Maarten Vandevoordt,8.0
Matz Sels,4.0
Zeno Debast,30.0
Koni De Winter,23.0
Nathan Ngoy,20.0
Arthur Theate,20.0
Brandon Mechele,3.0
Maxim De Cuyper,22.0
Joaquin Seys,17.0
Timothy Castagne,10.0
Thomas Meunier,1.8
Amadou Onana,45.0
Nicolas Raskin,12.0
Axel Witsel,1.4
Youri Tielemans,35.0
Nathan De Cat,25.0
Alexis Saelemaekers,25.0
Charles De Ketelaere,35.0
Kevin De Bruyne,10.0
Jeremy Doku,65.0
Mika Godts,25.0
Dodi Lukebakio,20.0
Lois Openda,32.0
Lucas Stassin,15.0
