player_name,market_value_eur_millions
Dayne St. Clair,3.5
Maxime Crepeau,2.5
Owen Goodman,0.55
Derek Cornelius,3.0
Joel Waterman,2.5
Kamal Miller,2.5
Luc De Fougerolles,1.0
Jahkeele Marshall-Rutty,1.5
Richie Laryea,1.0
Niko Sigur,4.0
Ralph Priso,0.8
Ismael Kone,20.0
Nathan-Dylan Saliba,6.0
Jonathan Osorio,1.2
Mathieu Choiniere,0.8
Ali Ahmed,4.0
Liam Millar,2.8
Marcelo Flores,1.2
Junior Hoilett,0.05
Tajon Buchanan,12.0
Jonathan David,35.0
Tani Oluwaseyi,8.0
Daniel Jebbison,6.0
Cyle Larin,3.5
Jacen Russell-Rowe,3.5
Aribim Pepple,0.175
