player_name,market_value_eur_millions
Alvaro Montero,2.5
Camilo Vargas,0.5
David Ospina,0.2
Jhon Lucumi,25.0
Davinson Sanchez,18.0
Yerson Mosquera,12.0
Juan Cabal,9.0
Deiver Machado,2.5
Johan Mojica,1.8
Daniel Munoz,27.0
Santiago Arias,1.5
Richard Rios,22.0
Jefferson Lerma,8.0
Kevin Castano,6.5
Gustavo Puerta,5.0
Jorge Carrascal,11.0
James Rodriguez,2.0
Juan Fernando Quintero,2.0
Luis Diaz,70.0
Andres Gomez,8.0
Jaminton Campaz,5.5
Johan Carbonero,4.0
Jhon Arias,15.0
Luis Suarez,28.0
Jhon Cordoba,10.0
Rafael Borre,4.0
