player_name,market_value_eur_millions
Dominik Livakovic,4.0
Ivor Pandur,3.5
Karlo Letica,1.5
Luka Vuskovic,60.0
Josip Sutalo,15.0
Marin Pongracic,7.5
Martin Erlic,4.0
Duje Caleta-Car,3.0
Josip Stanisic,35.0
Ivan Smolcic,2.5
Nikola Moro,6.5
Kristijan Jakic,6.0
Petar Sucic,30.0
Luka Sucic,10.0
Mario Pasalic,7.0
Luka Modric,4.0
Martin Baturina,24.0
Lovro Majer,10.0
Nikola Vlasic,9.0
Toni Fruk,9.0
Andrej Kramaric,3.0
Ivan Perisic,1.3
Marco Pasalic,6.5
Igor Matanovic,10.0
Petar Musa,7.0
Ante Budimir,3.0
