player_name,market_value_eur_millions
Matthieu Epolo,5.0
Timothy Fayulu,1.0
Dimitry Bertaud,0.9
Lionel Mpasi-Nzau,0.4
Axel Tuanzebe,5.0
Steve Kapuadi,3.0
Chancel Mbemba,2.5
Rocky Bushiri,0.9
Dylan Batubinsika,0.7
Joris Kayembe,2.5
Arthur Masuaku,2.5
Aaron Wan-Bissaka,22.0
Gedeon Kalulu,1.6
Ngalayel Mukau,12.0
Charles Pickel,2.5
Noah Sadiki,25.0
Edo Kayembe,4.0
Samuel Moutoussamy,1.2
Mario Stroeykens,8.0
Gael Kakuta,0.35
Michel-Ange Balikwisha,5.0
Brian Cipenga,1.4
Nathanael Mbuku,1.2
Theo Bongonda,5.0
Simon Banza,11.0
Samuel Essende,3.5
Meschack Elia,2.5
Fiston Mayele,2.0
Cedric Bakambu,1.4
