player_name,market_value_eur_millions
Gonzalo Valle,1.8
Moises Ramirez,0.8
David Cabezas,0.5
Hernan Galindez,0.325
Willian Pacho,70.0
Piero Hincapie,50.0
Joel Ordonez,33.0
Leo Realpe,4.0
Jackson Porozo,2.5
Felix Torres,1.0
Pervis Estupinan,14.0
Yaimar Medina,4.0
Angelo Preciado,3.8
Jose Andres Hurtado,3.0
Moises Caicedo,110.0
Jordy Alcivar,1.8
Denil Castillo,5.5
Alan Franco,4.5
Kendry Paez,9.0
Pedro Vite,5.5
Patrik Mercado,5.5
Nilson Angulo,17.0
John Mercado,4.0
Gonzalo Plata,8.0
Alan Minda,3.0
Bryan Ramirez,3.0
Elias Legendre Quinonez,1.5
Janner Corozo,1.2
Anthony Valencia,1.0
John Yeboah,5.0
Jeremy Arevalo,7.0
Kevin Rodriguez,5.0
Enner Valencia,1.5
Jordy Caicedo,1.5
