player_name,market_value_eur_millions
Dean Henderson,28.0
James Trafford,25.0
Jordan Pickford,15.0
Aaron Ramsdale,12.0
Jason Steele,0.75
Marc Guehi,65.0
Ezri Konsa,40.0
Fikayo Tomori,20.0
John Stones,15.0
Harry Maguire,10.0
Dan Burn,5.0
Nico O'Reilly,50.0
Lewis Hall,35.0
Djed Spence,30.0
Tino Livramento,40.0
Ben White,30.0
Adam Wharton,60.0
James Garner,35.0
Jordan Henderson,2.0
Declan Rice,120.0
Elliot Anderson,60.0
Kobbie Mainoo,50.0
Jude Bellingham,140.0
Cole Palmer,110.0
Phil Foden,80.0
Morgan Rogers,80.0
Anthony Gordon,60.0
Marcus Rashford,40.0
Harvey Barnes,32.0
Bukayo Saka,120.0
Noni Madueke,50.0
Harry Kane,75.0
