player_name,market_value_eur_millions
Lucas Chevalier,30.0
Mike Maignan,25.0
Brice Samba,8.0
Dayot Upamecano,70.0
Ibrahima Konate,50.0
Maxence Lacroix,40.0
Pierre Kalulu,32.0
Theo Hernandez,28.0
Lucas Hernandez,20.0
Lucas Digne,8.0
Malo Gusto,35.0
Aurelien Tchouameni,75.0
NGolo Kante,4.5
Warren Zaire-Emery,60.0
Eduardo Camavinga,50.0
Adrien Rabiot,20.0
Rayan Cherki,65.0
Michael Olise,140.0
Desire Doue,90.0
Maghnes Akliouche,50.0
Kylian Mbappe,200.0
Ousmane Dembele,100.0
Hugo Ekitike,90.0
Marcus Thuram,50.0
Randal Kolo Muani,22.0
