player_name,market_value_eur_millions
Finn Dahmen,12.0
Alexander Nubel,12.0
Oliver Baumann,3.0
Nico Schlotterbeck,55.0
Malick Thiaw,45.0
Jonathan Tah,30.0
Waldemar Anton,18.0
Antonio Rudiger,9.0
Nathaniel Brown,35.0
David Raum,22.0
Josha Vagnoman,10.0
Angelo Stiller,45.0
Joshua Kimmich,40.0
Anton Stach,25.0
Leon Goretzka,15.0
Pascal Gross,3.5
Florian Wirtz,110.0
Lennart Karl,60.0
Kevin Schade,35.0
Chris Fuhrich,10.0
Leroy Sane,22.0
Serge Gnabry,20.0
Nick Woltemade,65.0
Kai Havertz,50.0
Deniz Undav,22.0
