player_name,market_value_eur_millions
Lawrence Ati Zigi,1.5
Joseph Anang,0.275
Benjamin Asare,0.1
Kojo Peprah Oppong,10.0
Jonas Adjetey,7.0
Jerome Opoku,5.0
Alexander Djiku,4.0
Patric Pfeiffer,1.8
Derrick Luckassen,1.0
Derrick Kohn,4.0
Gideon Mensah,3.5
Marvin Senaya,3.0
Ibrahim Sulemana,6.0
Elisha Owusu,3.5
Thomas Partey,2.5
Caleb Yirenkyi,6.0
Kwasi Sibo,1.5
Kamaldeen Sulemana,18.0
Christopher Bonsu Baah,10.0
Antoine Semenyo,75.0
Abdul Fatawu,24.0
Dan Agyei,0.8
Ransford Konigsdorffer,4.0
Prince Adu,3.0
Jordan Ayew,1.8
