player_name,market_value_eur_millions
Alexandre Pierre,0.5
Johny Placide,0.15
Hannes Delcroix,2.0
Jean-Kevin Duverne,2.0
Ricardo Ade,0.3
Delentz Pierre,0.15
Martin Experience,0.4
Duke Lacroix,0.15
Carlens Arcus,1.8
Wilguens Paugain,0.6
Danley Jean Jacques,3.0
Leverton Pierre,0.2
Carl Sainte,0.15
Jean-Ricner Bellegarde,16.0
Derrick Etienne Jr,0.8
Ruben Providence,0.3
Josue Casimir,3.5
Louicius Deedson,1.2
Wilson Isidor,18.0
Frantzdy Pierrot,2.5
Duckens Nazon,0.9
Woobens Pacius,0.3
Yassin Fortune,0.2
