player_name,market_value_eur_millions
Payam Niazmand,0.75
Alireza Beiranvand,0.7
Mohammad Khalifeh,0.7
Seyed Hossein Hosseini,0.55
Hossein Kanaani,1.8
Danial Eiri,0.8
Saman Fallah,0.8
Ali Nemati,0.6
Hossein Abarghouei,0.6
Shoja Khalilzadeh,0.1
Milad Mohammadi,1.0
Abolfazl Jalali,0.5
Ehsan Hajsafi,0.275
Arya Yousefi,1.4
Saleh Hardani,0.7
Danial Esmaeilifar,0.7
Ramin Rezaeian,0.3
Mohammad Ghorbani,1.5
Omid Noorafkan,0.9
Amirmohammad Razzaghinia,0.8
Saman Ghoddos,1.3
Mehdi Ghayedi,4.5
Mohammad Mohebi,2.8
Mehdi Torabi,1.3
Ali Gholizadeh,2.0
Mehdi Hashemnejad,1.0
Sardar Azmoun,3.5
Mehdi Taremi,1.8
