player_name,market_value_eur_millions
Yahia Fofana,5.0
Alban Lafont,3.0
Mohamed Kone,0.8
Ousmane Diomande,45.0
Evan Ndicka,35.0
Wilfried Singo,25.0
Odilon Kossounou,18.0
Emmanuel Agbadou,18.0
Clement Akpa,8.0
Ghislain Konan,3.0
Guela Doue,18.0
Ibrahim Sangare,22.0
Jean Michael Seri,0.1
Christ Inao Oulai,17.0
Franck Kessie,12.0
Seko Fofana,8.0
Bazoumana Toure,35.0
Simon Adingra,22.0
Benie Traore,8.0
Martial Godo,7.0
Parfait Guiagon,5.0
Amad Diallo,50.0
Evann Guessand,28.0
Nicolas Pepe,6.0
Elye Wahi,12.0
