player_name,market_value_eur_millions
Zion Suzuki,20.0
Keisuke Osako,2.0
Tomoki Hayakawa,1.5
Hiroki Ito,18.0
Tsuyoshi Watanabe,10.0
Junnosuke Suzuki,2.0
Shogo Taniguchi,0.8
Yukinari Sugawara,7.5
Daiki Hashioka,1.2
Kaishu Sano,25.0
Ayumu Seko,3.0
Kodai Sano,12.0
Joel Chima Fujita,10.0
Ao Tanaka,10.0
Ryunosuke Sato,1.2
Daichi Kamada,12.0
Kaoru Mitoma,25.0
Daizen Maeda,12.0
Keito Nakamura,9.0
Ritsu Doan,20.0
Junya Ito,3.5
Yuito Suzuki,18.0
Ayase Ueda,15.0
Kento Shiogai,8.0
Keisuke Goto,8.0
Shuto Machino,5.0
Koki Ogawa,2.5
