player_name,market_value_eur_millions
Luis Malagon,7.0
Raul Rangel,5.5
Carlos Acevedo,3.5
Carlos Moreno,3.5
Ramon Juarez,6.0
Victor Guzman,5.0
Israel Reyes,5.0
Eduardo Aguila,4.0
Everardo Lopez,1.5
Bryan Gonzalez,4.5
Jesus Gallardo,3.0
Richard Ledezma,4.0
Jorge Sanchez,2.2
Erik Lira,9.0
Carlos Rodriguez,5.5
Luis Romo,3.5
Denzell Garcia,3.0
Marcel Ruiz,9.0
Obed Vargas,8.0
Gilberto Mora,10.0
Brian Gutierrez,5.0
Iker Fimbres,3.8
Kevin Castaneda,3.0
Roberto Alvarado,6.0
Diego Lainez,5.5
German Berterame,8.5
Armando Gonzalez,7.0
Angel Sepulveda,0.6
