player_name,market_value_eur_millions
Yassine Bounou,3.5
El Mehdi Benabid,1.5
El Mehdi Al Harrar,1.0
Chadi Riad,12.0
Issa Diop,10.0
Abdelhamid Ait Boudlal,10.0
Redouane Halhal,3.0
Ismael Baouf,2.5
Souffian El Karouani,15.0
Anass Salah-Eddine,12.0
Achraf Hakimi,80.0
Noussair Mazraoui,20.0
Zakaria El Ouahdi,15.0
Oussama Targhalline,12.0
Mohamed Rabie Hrimat,1.5
Neil El Aynaoui,20.0
Samir El Mourabet,18.0
Azzedine Ounahi,10.0
Bilal El Khannouss,32.0
Ismael Saibari,32.0
Rayane Bounida,5.0
Abde Ezzalzouli,30.0
Amine Adli,20.0
Soufiane Rahimi,6.0
Brahim Diaz,35.0
Chemsdine Talbi,25.0
Gessime Yassine,10.0
Yassir Zabiri,9.0
Ayoub El Kaabi,5.0
