player_name,market_value_eur_millions
Bart Verbruggen,40.0
Mark Flekken,8.0
Justin Bijlow,4.0
Micky van de Ven,65.0
Jan Paul van Hecke,35.0
Virgil van Dijk,18.0
Nathan Ake,15.0
Stefan de Vrij,3.5
Jorrel Hato,35.0
Jeremie Frimpong,35.0
Denzel Dumfries,25.0
Lutsharel Geertruida,20.0
Ryan Gravenberch,90.0
Jerdy Schouten,22.0
Tijjani Reijnders,60.0
Kees Smit,25.0
Quinten Timber,25.0
Luciano Valente,18.0
Xavi Simons,50.0
Teun Koopmeiners,20.0
Cody Gakpo,65.0
Noa Lang,25.0
Donyell Malen,35.0
Brian Brobbey,25.0
Wout Weghorst,2.5
