player_name,market_value_eur_millions
Egil Selvik,1.3
Orjan Nyland,0.9
Viljar Myhra,0.8
Kristoffer Ajer,18.0
Torbjorn Heggem,14.0
Leo Ostigard,10.0
Odin Bjortuft,4.5
Henrik Falchener,4.0
David Moller Wolfe,10.0
Fredrik Bjorkan,3.5
Julian Ryerson,25.0
Marcus Pedersen,3.5
Sander Berge,25.0
Patrick Berg,8.0
Kristian Thorstvedt,10.0
Felix Horn Myhre,3.5
Morten Thorsby,3.0
Antonio Nusa,32.0
Andreas Schjelderup,20.0
Jens Petter Hauge,12.0
Oscar Bobb,30.0
Erling Haaland,200.0
Jorgen Strand Larsen,45.0
Alexander Sorloth,20.0
