player_name,market_value_eur_millions
Orlando Gill,5.0
Gaston Olveira,0.5
Roberto Fernandez,0.15
Omar Alderete,15.0
Gustavo Gomez,4.0
Junior Alonso,2.0
Jose Canale,1.8
Fabian Balbuena,1.2
Gustavo Velazquez,0.6
Alexandro Maidana,1.5
Juan Jose Caceres,4.0
Alan Benitez,0.3
Andres Cubas,4.0
Braian Ojeda,4.0
Diego Gomez,25.0
Damian Bobadilla,5.0
Matias Galarza,3.0
Julio Enciso,22.0
Mauricio,14.0
Kaku,5.0
Gustavo Caballero,1.0
Miguel Almiron,9.0
Ramon Sosa,10.0
Alex Arce,3.0
Antonio Sanabria,2.0
Gabriel Avalos,0.8
