player_name,market_value_eur_millions
Rui Silva,7.0
Jose Sa,5.0
Ricardo Velho,2.5
Goncalo Inacio,40.0
Tomas Araujo,28.0
Antonio Silva,28.0
Renato Veiga,25.0
Nuno Mendes,75.0
Matheus Nunes,45.0
Diogo Dalot,30.0
Joao Cancelo,9.0
Vitinha,110.0
Ruben Neves,25.0
Samu Costa,15.0
Joao Neves,110.0
Mateus Fernandes,35.0
Bruno Fernandes,40.0
Francisco Trincao,35.0
Pedro Goncalves,28.0
Ricardo Horta,10.0
Goncalo Guedes,6.0
Pedro Neto,60.0
Francisco Conceicao,30.0
Joao Felix,25.0
Goncalo Ramos,35.0
Paulinho,6.0
