player_name,market_value_eur_millions
Yehvann Diouf,7.0
Edouard Mendy,4.5
Mory Diaw,1.0
Mamadou Sarr,25.0
Moussa Niakhate,18.0
Antoine Mendy,6.0
Nobel Mendy,6.0
Kalidou Koulibaly,5.0
Abdoulaye Seck,0.5
El Hadji Malick Diouf,28.0
Ismail Jakobs,8.0
Idrissa Gueye,1.0
Pape Gueye,40.0
Lamine Camara,35.0
Pape Matar Sarr,32.0
Habib Diarra,32.0
Pathe Ciss,2.0
Krepin Diatta,6.0
Assane Diao,30.0
Mamadou Diakhon,9.0
Iliman Ndiaye,50.0
Ismaila Sarr,35.0
Ibrahim Mbaye,30.0
Nicolas Jackson,40.0
Boulaye Dia,7.0
Bamba Dieng,6.0
Habib Diallo,5.0
Cherif Ndiaye,5.0
