player_name,market_value_eur_millions
Joan Garcia,40.0
David Raya,35.0
Unai Simon,25.0
Alex Remiro,14.0
Pau Cubarsi,80.0
Dean Huijsen,65.0
Cristhian Mosquera,35.0
Aymeric Laporte,9.0
Marc Cucurella,50.0
Alejandro Grimaldo,24.0
Pedro Porro,40.0
Marcos Llorente,22.0
Martin Zubimendi,80.0
Rodri,65.0
Pedri,150.0
Carlos Soler,8.0
Pablo Fornals,8.0
Fermin Lopez,100.0
Dani Olmo,60.0
Alex Baena,45.0
Victor Munoz,20.0
Ander Barrenetxea,18.0
Lamine Yamal,200.0
Yeremy Pino,35.0
Ferran Torres,50.0
Mikel Oyarzabal,25.0
Borja Iglesias,3.0
