player_name,market_value_eur_millions
Melker Ellborg,3.0
Noel Tornqvist,2.0
Kristoffer Nordfeldt,0.175
Isak Hien,22.0
Victor Lindelof,6.0
Gustaf Lagerbielke,5.0
Carl Starfelt,5.0
Eric Smith,5.0
Daniel Svensson,22.0
Gabriel Gudmundsson,20.0
Jesper Karlstrom,4.0
Lucas Bergvall,40.0
Hugo Larsson,32.0
Yasin Ayari,30.0
Mattias Svanberg,9.0
Besfort Zeneli,4.5
Herman Johansson,1.8
Elliot Stroud,3.0
Williot Swedberg,15.0
Taha Ali,1.0
Anthony Elanga,40.0
Roony Bardghji,15.0
Benjamin Nygren,10.0
Gustav Lundgren,1.3
Viktor Gyokeres,65.0
Gustaf Nilsson,2.0
