player_name,market_value_eur_millions
Aymen Dahmen,0.8
Bechir Ben Said,0.7
Noureddine Farhati,0.65
Sabri Ben Hessen,0.4
Montassar Talbi,7.0
Yassine Meriah,1.2
Dylan Bronn,1.0
Nader Ghandri,0.9
Adem Arous,0.8
Ali Abdi,2.5
Ali Maaloul,0.2
Yan Valery,1.3
Mohamed Ben Ali,0.65
Ellyes Skhiri,6.0
Mohamed Belhadj Mahmoud,2.8
Mohamed Ali Ben Romdhane,1.5
Houssem Tka,1.2
Ferjani Sassi,1.0
Hannibal,14.0
Ismael Gharbi,7.0
Elias Saad,4.0
Sebastian Tounekti,4.0
Elias Achouri,3.5
Naim Sliti,2.0
Mortadha Ben Ouanes,1.5
Firas Chaouat,0.85
Hazem Mastouri,0.7
Seifeddine Jaziri,0.3
