player_name,market_value_eur_millions
Ugurcan Cakir,15.0
Altay Bayindir,7.0
Muhammed Sengezer,2.5
Mert Gunok,0.5
Merih Demiral,14.0
Ozan Kabak,10.0
Abdulkerim Bardakci,6.5
Ahmetcan Kaplan,5.0
Samet Akaydin,1.2
Ferdi Kadioglu,30.0
Eren Elmali,5.0
Mustafa Eskihellac,3.5
Zeki Celik,12.0
Mert Muldur,7.0
Hakan Calhanoglu,18.0
Ismail Yuksek,15.0
Atakan Karazor,9.0
Salih Ozcan,3.5
Kaan Ayhan,2.0
Orkun Kokcu,25.0
Arda Guler,90.0
Kenan Yildiz,75.0
Baris Alper Yilmaz,26.0
Kerem Akturkoglu,22.0
Oguz Aydin,8.0
Yunus Akgun,18.0
Irfan Can Kahveci,3.5
Semih Kilicsoy,13.0
Deniz Gul,6.0
