player_name,market_value_eur_millions
Patrick Schulte,3.5
Matt Turner,2.5
Chris Brady,2.5
Matt Freese,2.0
Chris Richards,25.0
Auston Trusty,6.0
Mark McKenzie,6.0
Miles Robinson,3.5
Tim Ream,0.2
Antonee Robinson,25.0
Joe Scally,7.0
Alex Freeman,3.5
Tanner Tessmann,12.0
Weston McKennie,30.0
Johnny Cardoso,22.0
Aidan Morris,9.0
Sebastian Berhalter,5.0
Cristian Roldan,3.5
Timothy Weah,20.0
Malik Tillman,30.0
Brenden Aaronson,18.0
Giovanni Reyna,4.0
Max Arfsten,4.5
Christian Pulisic,50.0
Ricardo Pepi,25.0
Folarin Balogun,22.0
Patrick Agyemang,9.0
