player_name,market_value_eur_millions
Santiago Mele,2.2
Sergio Rochet,2.0
Fernando Muslera,0.75
Ronald Araujo,20.0
Jose Maria Gimenez,12.0
Santiago Bueno,10.0
Sebastian Caceres,4.5
Maxi Araujo,25.0
Mathias Olivera,15.0
Joaquin Piquerez,12.0
Juan Manuel Sanabria,5.5
Matias Vina,4.0
Jose Luis Rodriguez,1.5
Guillermo Varela,1.2
Manuel Ugarte,30.0
Emiliano Martinez,8.0
Nicolas Fonseca,3.0
Federico Valverde,120.0
Nicolas de la Cruz,9.0
Giorgian de Arrascaeta,15.0
Brian Rodriguez,6.5
Agustin Canobbio,6.0
Facundo Torres,13.0
Facundo Pellistri,6.0
Darwin Nunez,35.0
Federico Vinas,4.0
Agustin Alvarez,2.8
Rodrigo Aguirre,2.5
