player_name,market_value_eur_millions
Abduvokhid Nematov,1.5
Botirali Ergashev,0.5
Utkir Yusupov,0.5
Abdukodir Khusanov,35.0
Rustam Ashurmatov,0.7
Mukhammadkodir Khamraliev,0.65
Jakhongir Urozov,0.6
Umar Eshmurodov,0.5
Mukhammadrasul Abdumazhidov,0.5
Sherzod Nasrullaev,1.2
Farrukh Sayfiev,0.25
Khozhiakbar Alizhonov,1.2
Bekhruz Karimov,0.25
Odildzhon Khamrobekov,1.0
Umarali Rakhmonaliev,0.8
Aziz Ganiev,2.2
Otabek Shukurov,1.6
Akmal Mozgovoy,1.3
Ibrokhim Ibrokhimov,0.4
Jamshid Iskanderov,1.0
Oston Urunov,2.0
Alisher Odilov,0.7
Dostonbek Khamdamov,0.6
Eldor Shomurodov,7.0
Igor Sergeev,1.2
Sherzod Temirov,0.6
